Food,Cal-per-Kg,Protein,Carbs,Fats,Fiber,V-A,Vitamin B6,V-C,Vitamin D,V-E,V-K,Calc,Iron,Mag,Zinc,Sod,CO2,PO4,Water-Use,Cost
Wheat Bread,2740,0.107,0.475,0.045,0.04,0,0.00000111,0.000002,0,0.0000019,0.000000049,0.00125,0.000036,0.00041,0.0000104,0.00473,1.4,7.16,33385.6,5.273457335
Rye Bread,2590,0.085,0.483,0.033,0.058,0,0.00000075,0.000004,0,0.0000033,0.000000012,0.00073,0.000028,0.0004,0.0000114,0.00603,1.4,7.16,33385.6,8.796444261
Corn,3540,0.077,0.769,0.015,0.031,0,0,0,0,0,0,0,0,0,0,0,1.1,4.03,10863.3,3.29591082
Beer,430,0.0046,0.036,0,0,0,0.0000046,0,0,0,0,0.00004,0.000002,0.00006,0.000001,0.00004,1.1,2.33,696.4,2.449754902
Oatmeal,690,0.021,0.12,0.02,0.02,0.00000015,0.00000065,0,0,0.0000029,0.000000015,0.00009,0.0000045,0.0002,0.0000054,0.00083,1.6,11.23,18786.2,7.823529412
Rice,3600,0.066,0.793,0.0058,0,0,0.00000145,0,0,0,0,0.00009,0.000008,0.00035,0.0000116,0.00001,4,35.07,49576.3,3.302524688
Potatoes,780,0.029,0.172,0.001,0.033,0,0.00000239,0.000052,0,0,0,0.00045,0.0000607,0.0003,0.0000044,0.00014,0.3,3.48,2754.2,2.200213377
Cassava,1600,0.014,0.381,0.0028,0.018,0.00000001,0.00000088,0.000206,0,0.0000019,0.000000019,0.00016,0.0000027,0.00021,0.0000034,0.00014,0.9,0.69,0,17.08031376
Cane Sugar,3330,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,16.92,16438.6,5.132352941
Chickpeas,2100,0.082,0.255,0.089,0.071,0.00000001,0.00000123,0.000011,0,0.0000109,0.000000114,0.00046,0.000027,0.00045,0.0000142,0.00222,1.6,17.08,932,1.795454545
Lentils,3520,0.246,0.634,0.011,0.107,0.00000002,0.0000054,0.000045,0,0.0000049,0.00000005,0.00035,0.000065,0.00047,0.0000327,0.00006,1.6,17.08,932,5.088888889
Peas,810,0.054,0.145,0.004,0.057,0.00000038,0.00000169,0.0004,0,0.0000013,0.000000248,0.00025,0.0000147,0.00033,0.0000124,0.00005,0.8,7.52,27948.2,11.00106688
Cashew,5530,0.439,0.302,0.439,0.033,0,0.00000417,0.000005,0,0.000009,0.000000341,0.00037,0.000067,0.00292,0.0000578,0.00012,0.2,19.15,229889.8,24.97102538
Almonds,5790,0.212,0.216,0.499,0.125,0,0.00000137,0,0,0.0002563,0,0.00269,0.0000371,0.0027,0.0000312,0.00001,0.2,19.15,229889.8,18.27713817
Groundnuts,5670,0.258,0.161,0.492,0.085,0,0.00000348,0,0,0.0000833,0,0.00092,0.0000458,0.00168,0.0000327,0.00018,2.4,14.14,61797.9,4.409245263
Soymilk,450,0.029,0.035,0.02,0.004,0,0.00000233,0.000072,0.0000000012,0.0000252,0,0.0014,0.0000049,0.0005,0.0000024,0.0005,1,1.06,955.6,2.046153846
Tofu,1440,0.173,0.028,0.087,0.023,0,0,0.000002,0,0,0,0.00683,0.0000266,0.00058,0.0000157,0.00014,3,6.16,955.6,7.69413295
Palm Oil,8840,0,0,1,0,0,0,0,0,0.0001594,0.00000008,0,0.0000001,0,0,0,7.6,10.67,36.2,9.666666667
Olive Oil,8840,0,0,1,0,0,0,0,0,0.0001435,0.0000006,0.00001,0.0000056,0,0,0.00002,6,37.26,1768680,15.39647577
